Variety,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Aglianico,,,,,,,,,,
Aglianico Blend,,,,,,,,,,
Albarino,,,,,,,,,,
Albarino Blend,,,,,,,,,,
Alicante Bouchet,,,,,,,,,,
Alicante Bouschet,,,,,,,,,,
Alicante Bouschet Blend,,,,,,,,,,
Aligoté,$0.00,$0.00,$666.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Alvarinho,,,,,,,,,,
Apera,,,,,,,,,,
Aranel,,,,,,,,,,
Arinto,,,,,,,,,,
Arinto Blend,,,,,,,,,,
Arneis,"$2,277.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Arneis Blend,,,,,,,,,,
Assyrtiko,,,,,,,,,,
Barbera,$0.00,$0.00,"$12,960.00","$87,955.20","$55,728.00",$0.00,$0.00,$0.00,$0.00,$0.00
Barbera Blend,,,,,,,,,,
Bastardo,"$3,461.00","$2,880.00",$0.00,$0.00,"$2,340.00",$312.00,"$6,469.00",$0.00,$0.00,$0.00
Bianco d'Alessano,,,,,,,,,,
Bianco d'Alessano Blend,,,,,,,,,,
Black Frontignac,,,,,,,,,,
Black Muscat,,,,,,,,,,
Black Muscat Blend,,,,,,,,,,
Blaufraenkisch,,,,,,,,,,
Blaufrankisch,,,,,,,,,,
Blue Imperial,,,,,,,,,,
Bonvedro,,,,,,,,,,
Bonvedro Blend,,,,,,,,,,
Brachetto,,,,,,,,,,
Brown Frontignac,,,,,,,,,,
Brown Muscat,"$1,813.60",$0.00,$0.00,"$1,706.25",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Brown Muscat Blend,$0.00,"$1,631.25","$1,087.50",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Cabernet,"$624,925.11","$1,000,152.89","$796,522.26","$644,522.62","$602,767.95","$515,805.67","$175,710.30","$347,426.14","$523,978.69","$322,903.11"
Cabernet Blend,"$892,390.74","$1,042,578.56","$629,707.21","$612,940.86","$750,280.31","$677,960.72","$587,767.35","$976,538.90","$769,033.73","$486,607.88"
Cabernet Franc,"$3,744.00","$14,005.44","$35,861.48","$58,591.79","$5,311.48","$9,955.00","$23,303.60","$12,457.20","$90,532.68","$22,255.40"
Cabernet Franc Blend,"$19,112.85","$20,153.00","$60,890.60","$55,927.39","$188,951.95","$162,131.38","$89,431.86","$1,140.00","$35,376.80","$29,366.40"
Cabernet Sauvignon,"$9,545,145.36","$12,074,816.73","$10,746,478.14","$10,952,083.07","$10,210,492.33","$7,744,455.74","$7,385,614.99","$7,242,048.80","$7,202,453.85","$6,504,176.96"
Cabernet Sauvignon Blend,"$2,833,012.66","$4,837,206.71","$7,124,923.17","$6,624,648.06","$6,541,034.26","$5,595,898.70","$5,352,081.26","$5,742,356.40","$6,474,236.05","$6,644,674.93"
Cabernets,"$6,879.60","$48,865.08","$7,225.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Campbell Blend,,,,,,,,,,
Canada Muscat,,,,,,,,,,
Canada Muscat Blend,,,,,,,,,,
Carignan,,,,,,,,,,
Carignan Blend,,,,,,,,,,
Carmenère,,,,,,,,,,
Carnelian,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,200.00",$480.00,"$39,570.00","$76,025.00"
Chambourcin,,,,,,,,,,
Chambourcin Blend,,,,,,,,,,
Chardonnay,"$7,380,551.56","$8,323,808.65","$8,625,932.84","$7,447,188.71","$7,738,316.48","$5,889,751.25","$6,218,619.38","$5,412,807.08","$6,126,611.41","$6,450,881.39"
Chardonnay Blend,"$24,648.14","$80,941.67","$51,681.57","$125,433.19","$131,988.43","$118,218.10","$99,581.96","$95,510.69","$99,081.00","$175,975.15"
Chardonnay Musque,,,,,,,,,,
Chenin Blanc,"$191,466.72","$372,307.05","$301,241.60","$75,986.65","$99,572.05","$77,090.68","$117,350.80","$108,000.72","$86,719.10","$91,048.45"
Chenin Blanc Blend,"$9,084.00","$16,766.00","$41,224.00","$29,766.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Cienna,,,,,,,,,,
Cienna Blend,,,,,,,,,,
Cinsaut,,,,,,,,,,
Cinsaut Blend,,,,,,,,,,
Clairette,,,,,,,,,,
Colombard,,,,,,,,,,
Colombard Blend,,,,,,,,,,
Colorino,,,,,,,,,,
Cortese,,,,,,,,,,
Counoise Blend,,,,,,,,,,
Crouchen,,,,,,,,,,
Crouchen Blend,,,,,,,,,,
Dolcetto,,,,,,,,,,
Dolcetto Blend,,,,,,,,,,
Doradillo,,,,,,,,,,
Durif,"$5,491.00","$25,563.72","$3,432.00","$5,040.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Durif Blend,,,,,,,,,,
Fiano,"$3,038.75",$844.00,"$3,378.00","$12,993.00","$34,755.35",$234.00,"$3,500.00",$0.00,$0.00,$0.00
Fiano Blend,,,,,,,,,,
Frontignac,,,,,,,,,,
Frontignac Blend,,,,,,,,,,
Fumé Blanc,"$3,994.04","$4,263.84",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Gamay,,,,,,,,,,
Gamay Blend,,,,,,,,,,
Garganega,,,,,,,,,,
Garnacha,,,,,,,,,,
Garnacha Blend,,,,,,,,,,
Gewurztraminer,"$1,920.00","$4,032.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Gewürztraminer,,,,,,,,,,
Gewurztraminer Blend,"$11,822.17",$0.00,"$1,044.00","$3,321.60",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Gewürztraminer Blend,,,,,,,,,,
Glera,,,,,,,,,,
Glera Blend,,,,,,,,,,
Gordo,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,620.00","$1,380.00"
Gordo Blend,,,,,,,,,,
Graciano,$0.00,"$2,628.00",$0.00,$0.00,"$1,728.00",$0.00,"$6,259.00","$7,296.60","$6,840.00","$4,969.20"
Graciano Blend,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$11,520.00",$0.00,$0.00,$0.00
Greco,,,,,,,,,,
Greco Blend,,,,,,,,,,
Grenache,"$26,672.30","$58,728.46","$20,378.20","$6,480.00","$2,998.00","$14,628.00","$21,498.40",$0.00,"$36,695.04","$19,118.66"
Grenache Blanc,,,,,,,,,,
Grenache Blanc Blend,,,,,,,,,,
Grenache Blend,"$79,635.83","$51,049.15","$21,385.60","$2,674.80","$20,533.60","$55,863.00","$18,567.00","$68,249.31","$25,143.64","$32,649.68"
Grillo,,,,,,,,,,
Gruener Veltliner,,,,,,,,,,
Gruner Veltliner,,,,,,,,,,
Grüner Veltliner,,,,,,,,,,
Gruner Veltliner Blend,,,,,,,,,,
Grüner Veltliner Blend,,,,,,,,,,
Insolia,,,,,,,,,,
Isabella,$0.00,$0.00,"$1,686.00","$1,338.48","$1,675.00",$0.00,$0.00,$0.00,$0.00,$0.00
Kerner,,,,,,,,,,
Kyoho,"$15,996.00","$36,613.44","$2,096.64","$5,292.00","$5,376.00",$0.00,$0.00,$0.00,$0.00,$0.00
Lagrein,,,,,,,,,,
Lagrein Blend,,,,,,,,,,
Lambrusco,,,,,,,,,,
Lambrusco Maestri,,,,,,,,,,
Lexia,,,,,,,,,,
Malbec,"$105,233.13","$35,349.08","$97,435.68","$188,487.86","$38,806.43","$104,508.20","$125,732.00","$61,960.00","$79,827.50","$40,579.40"
Malbec Blend,"$48,303.00","$116,483.75","$49,996.56","$39,852.48","$4,728.00","$1,800.00","$52,655.92","$39,132.50","$69,494.10","$89,622.50"
Malvasia,,,,,,,,,,
Malvasia Bianca,,,,,,,,,,
Malvasia Bianca Blend,,,,,,,,,,
Mammolo,,,,,,,,,,
Marsanne,$840.00,"$14,580.00","$2,184.00",$0.00,$0.00,$0.00,"$2,304.00",$0.00,"$2,016.00",$0.00
Marsanne Blend,$0.00,"$8,649.54","$5,802.88","$11,434.32","$21,384.18","$28,869.53","$51,263.00","$25,853.00","$29,498.00","$24,002.00"
Mataro,,,,,,,,,,
Mataro Blend,,,,,,,,,,
Mencia,,,,,,,,,,
Merlot,"$522,309.74","$1,614,278.67","$2,211,170.35","$1,999,500.15","$1,791,705.82","$1,124,185.41","$975,347.57","$1,192,483.68","$1,245,246.87","$1,409,223.75"
Merlot Blend,"$32,559.71","$21,667.00","$148,470.96","$138,401.59","$183,841.17","$68,341.85","$68,427.38","$445,353.45","$509,567.10","$232,460.52"
Meslier,,,,,,,,,,
Meunier,,,,,,,,,,
Monastrell,,,,,,,,,,
Monastrell Blend,,,,,,,,,,
Montepulciano,,,,,,,,,,
Montepulciano Blend,,,,,,,,,,
Moscato,"$10,960.00",$0.00,"$3,260.00","$1,056.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Moscato Bianco,,,,,,,,,,
Moscato Blend,,,,,,,,,,
Moscato Giallo,,,,,,,,,,
Moscato Giallo Blend,,,,,,,,,,
Mourvèdre,$0.00,$0.00,"$2,580.00",$0.00,$528.00,"$2,640.00",$0.00,$0.00,$0.00,$0.00
