Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,9547,1990,26.6,22.6,17.8,11.8,8.7,6.8,7.8,10.4,15.1,16.6,25.4,27.5,16.4
IDCJAC0003,9547,1991,27,23.2,17.8,13.1,8.6,6.2,8,11.3,14,20,23.4,27.5,16.7
IDCJAC0003,9547,1992,28.2,22.3,18.2,14.2,9.2,7.5,7.7,10.2,16.2,19.9,20.5,25.8,16.7
IDCJAC0003,9547,1993,27.1,26,17.5,11.8,9.5,8.1,8.1,9.7,14.4,18.2,24.2,29.8,17
IDCJAC0003,9547,1994,26.6,22.9,19.3,13.4,8.8,7.3,9.3,14.6,15.1,18.6,23.8,30.3,17.5
IDCJAC0003,9547,1995,28.4,25.1,20.9,13.6,10.3,7.3,7.6,11.6,15.3,22,24.5,24,17.6
IDCJAC0003,9547,1996,28.8,27.2,20,12.7,9.3,6.9,7.5,11.3,13.7,20.9,25.2,26.8,17.5
IDCJAC0003,9547,1997,29.1,22.7,18.4,13.4,9.1,7.6,8.8,11.4,14.8,21.7,24.6,29.9,17.6
IDCJAC0003,9547,1998,29.4,28.4,18.7,12.2,9.5,6.9,8.5,10.4,15.5,21.8,24.6,27.2,17.8
IDCJAC0003,9547,1999,28.1,26.7,16.9,14.6,8.3,6.6,8.8,11.9,15,20.5,26.4,27,17.6
IDCJAC0003,9547,2000,25.8,25,20.4,13.9,9.9,7.5,7.3,11,14.5,22.1,25.4,29.7,17.7
IDCJAC0003,9547,2001,25.7,23.6,18.9,13.4,9.7,7.7,8.8,10.1,13.8,20,25.5,25.1,16.9
IDCJAC0003,9547,2002,28.6,26,18.7,11.8,9.5,6.6,8.3,11.9,15.8,17.1,25.4,27.3,17.3
IDCJAC0003,9547,2003,28.6,24.9,18.3,12.7,10.1,8.3,7.8,11.1,14.4,17.9,26.1,28.3,17.4
IDCJAC0003,9547,2004,28.4,23.5,20.1,12.7,9,7,8.1,10.8,15.6,19.8,22.2,28.4,17.1
IDCJAC0003,9547,2005,30.1,23.4,17.5,12.4,9.2,7,8.3,11.3,13.5,18.5,25.2,null,null
IDCJAC0003,9547,2006,26.2,27.1,20.6,12.5,9.4,8.2,8.4,10.8,15.9,23.1,22.2,29.1,17.8
IDCJAC0003,9547,2007,25.7,23.6,20.2,12.9,8.4,9,7.8,10.3,14.5,20.8,28.3,24.2,17.1
IDCJAC0003,9547,2008,26.7,23.2,18.5,12.2,8.6,7.8,8,13,15,18.6,22.8,27.9,16.9
IDCJAC0003,9547,2009,28.9,24.1,17.3,14.6,10.5,6.4,8.3,11.2,14.5,19.8,26.7,30,17.7
IDCJAC0003,9547,2010,29.7,23.2,18.4,13.6,9.1,7.8,8,11.6,16.9,22.4,24.3,26.4,17.6
IDCJAC0003,9547,2011,25.8,26.5,20.9,13.9,9.5,7.4,7.7,10.8,15.1,20.1,23.6,25.2,17.2
IDCJAC0003,9547,2012,27.5,21.6,21,12.1,9.6,7,8.4,11.3,15.8,21.3,24.2,26.9,17.2
IDCJAC0003,9547,2013,27.1,25.1,16.4,12.5,8.9,7.4,8,9.9,13.2,20.6,23.9,27.3,16.7
IDCJAC0003,9547,2014,29.1,25.5,17.6,12.4,8,7,8.3,11.6,14.4,18.5,19.4,27.3,16.6
IDCJAC0003,9547,2015,29,22.6,18.1,12,9.8,7.6,8.2,10.7,15.5,20.7,24.4,26.7,17.1
IDCJAC0003,9547,2016,23.1,23.5,17.3,12.4,9.6,8.2,9.1,11.4,14.4,19.2,25.3,24,16.5
IDCJAC0003,9547,2017,27,21.1,16.5,13.6,9.7,8.9,8.6,11.9,15.2,19.1,24.3,25.4,16.8
IDCJAC0003,9547,2018,25.6,20.7,16,12.9,10.4,8.2,9,10.5,15.3,18.5,21.7,25.9,16.2
IDCJAC0003,9547,2019,25.3,24.1,16.1,13,10.4,8,9.2,12.3,15.3,19,26,27.9,17.2
IDCJAC0003,9547,2020,26.3,21.5,16.5,12.6,9.7,8.5,9.3,11.3,14.6,21.4,21.6,27.3,16.7
IDCJAC0003,9547,2021,26.9,21.6,16.9,12.1,8.8,8.6,9,11.9,15.9,18.4,23,26.7,16.6
IDCJAC0003,9547,2022,26.8,23,18,12.8,10.1,8.5,null,null,null,null,null,null,null
