Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,9574,1928,null,null,null,null,null,null,null,null,null,null,null,25.6,null
IDCJAC0001,9574,1929,3,32.5,22.6,83.9,309.4,212.6,156.2,170.7,46.5,63,81.8,23.6,1205.8
IDCJAC0001,9574,1930,2.5,4.8,12.2,91.5,143.3,321.7,232.6,97.4,101.6,68.6,35.3,19.8,1131.3
IDCJAC0001,9574,1931,4,8.2,15.3,101.8,144.5,186.2,269,177,170.7,52,1.5,24.4,1154.6
IDCJAC0001,9574,1932,0,3.1,13.5,61.5,245.3,238,219.5,190.7,80.8,87.4,37.8,4.8,1182.4
IDCJAC0001,9574,1933,15,10.4,38.7,44.2,144.1,364.5,186.9,152.7,134.1,169.7,9.7,0,1270
IDCJAC0001,9574,1934,25.7,4.4,97,28.2,144.3,379.4,297.4,161.4,126,65.7,42.6,21.6,1393.7
IDCJAC0001,9574,1935,10.2,53.1,3,47.5,115.3,201.8,282.8,124.2,141.8,115,19.8,15.3,1129.8
IDCJAC0001,9574,1936,29.3,7.4,3.6,32,117.2,241.2,215.2,219.7,73.4,54.5,12.5,10.4,1016.4
IDCJAC0001,9574,1937,2.6,25.6,13.7,108.8,229.9,263.2,151.7,275.5,96.9,75.1,9.2,41.6,1293.8
IDCJAC0001,9574,1938,1.5,11.5,47,47.2,165.6,156.6,234.2,200.7,76.2,90,39.6,28.5,1098.6
IDCJAC0001,9574,1939,33.6,3.8,0,38,145.9,268.8,292.4,257.6,34,78.2,42.5,2.3,1197.1
IDCJAC0001,9574,1940,5.9,2.6,15.3,23.5,106.4,118.2,230.5,97.2,89.4,64,15,12.7,780.7
IDCJAC0001,9574,1941,1.8,9.4,40.2,111.4,126.2,247,256.2,99.8,116.6,51.6,63.9,0,1124.1
IDCJAC0001,9574,1942,5.6,8.9,29.6,137,271.3,332.6,224.8,171.8,108.1,59.7,11.9,12,1373.3
IDCJAC0001,9574,1943,11.6,11.7,137.2,80.6,53.4,160.5,151.9,132.3,110.3,24.1,9.1,3.1,885.8
IDCJAC0001,9574,1944,8.1,0,23.1,24.5,174.3,194.8,167.2,99.2,65.3,44.3,48.5,62.5,911.8
IDCJAC0001,9574,1945,7.9,3.8,22.1,65.5,163.4,326.9,240.8,242.3,148.2,37.4,30.9,39.6,1328.8
IDCJAC0001,9574,1946,6.1,1.8,38.6,41,183.9,241.6,321.4,120.7,56.5,17.6,89.4,73.9,1192.5
IDCJAC0001,9574,1947,6,9.2,12.5,112.3,217.1,371.9,169.7,106.6,114.1,125.7,45.4,23,1313.5
IDCJAC0001,9574,1948,6.4,0,17,87.2,98.5,142.1,295.3,155,177,51,62.4,27.7,1119.6
IDCJAC0001,9574,1949,15.7,0.3,32.3,183.6,78.1,239.9,263.7,215.9,79.5,111.6,65.1,0,1285.7
IDCJAC0001,9574,1950,13.2,7.1,0,23.4,180.5,236.5,244.3,171.3,138.1,56.9,82.8,14,1168.1
