Region,Year,Colour/Variety,Category,Tonnes purchased,Total value purchased,Average purchase value per tonne,% change in average value,Winery grown fruit,Winery grown share of crush,Total crushed,Total value all grapes
GreatSouthern,2021,Red,Cabernet Franc,,,,,14.638,100%,14.638,"$22,661"
GreatSouthern,2021,Red,Cabernet Sauvignon,1225.435,"$2,723,234.90","$2,222",-3%,276.055,18%,1501.49,"$3,336,701"
GreatSouthern,2021,Red,Grenache,10.704,"$17,695.90","$1,653",0%,,,10.704,"$17,696"
GreatSouthern,2021,Red,Malbec,54.864,"$111,578.60","$2,034",13%,61.52,53%,116.384,"$236,694"
GreatSouthern,2021,Red,Mataro/Mourvedre,,,,,2,100%,2,"$3,636"
GreatSouthern,2021,Red,Merlot,55.782,"$62,664.00","$1,123",0%,48.66,47%,104.442,"$117,327"
GreatSouthern,2021,Red,Nebbiolo,3.572,,,,0.94,21%,4.512,"$7,219"
GreatSouthern,2021,Red,Petit Verdot,,,,,1.8,100%,1.8,"$1,740"
GreatSouthern,2021,Red,Pinot Meunier,,,,,5.684,100%,5.684,"$9,743"
GreatSouthern,2021,Red,Pinot Noir,106.603,"$186,960.50","$1,754",-3%,228.901,68%,335.504,"$588,407"
GreatSouthern,2021,Red,Sangiovese,6,,,,2.818,32%,8.818,"$13,227"
GreatSouthern,2021,Red,Shiraz,1812.691,"$3,323,764.98","$1,834",3%,552.4,23%,2365.091,"$4,336,651"
GreatSouthern,2021,Red,Tempranillo,32.014,,,,12.74,28%,44.754,"$66,048"
GreatSouthern,2021,Red,Touriga Nacional,2.054,,,,3.4,62%,5.454,"$8,181"
GreatSouthern,2021,White,Chardonnay,649.612,"$800,658.66","$1,233",-6%,407.113,39%,1056.725,"$1,302,434"
GreatSouthern,2021,White,Fiano,12.259,,,,,,12.259,"$18,389"
GreatSouthern,2021,White,Gewürztraminer,,,,,7.392,100%,7.392,"$7,184"
GreatSouthern,2021,White,Grüner Veltliner,,,,,6.99,100%,6.99,"$13,592"
GreatSouthern,2021,White,Marsanne,,,,,0.3,100%,0.3,$475
GreatSouthern,2021,White,Pinot Gris/Grigio,67.506,"$92,587.20","$1,372",-8%,32.098,32%,99.604,"$136,611"
GreatSouthern,2021,White,Riesling,193.959,"$302,090.19","$1,558",-12%,355.312,65%,549.271,"$855,499"
GreatSouthern,2021,White,Sauvignon Blanc,816.517,"$838,556.07","$1,027",0%,370.411,31%,1186.928,"$1,218,964"
GreatSouthern,2021,White,Semillon,675.375,"$726,552.95","$1,076",18%,174.966,21%,850.341,"$914,769"
GreatSouthern,2021,White,Vermentino,5.84,,,,,,5.84,"$8,760"
GreatSouthern,2021,White,Viognier,0.556,,,,1.1,66%,1.656,"$2,484"
GreatSouthern,2020,Red,Cabernet Franc,5.525,,,,12.07,69%,17.595,"$15,836"
GreatSouthern,2020,Red,Cabernet Sauvignon,642.928,"$1,466,112.93","$2,280",-8%,272.938,30%,915.866,"$2,088,513"
GreatSouthern,2020,Red,Grenache,4.086,,,,4.44,52%,8.526,"$22,974"
GreatSouthern,2020,Red,Malbec,32.79,"$58,950.00","$1,798",-29%,36.843,53%,69.633,"$125,186"
GreatSouthern,2020,Red,Mataro/Mourvedre,7.46,,,,2.048,22%,9.508,"$28,524"
GreatSouthern,2020,Red,Merlot,32.092,,,,59.169,65%,91.261,"$99,645"
GreatSouthern,2020,Red,Nebbiolo,,,,,1.94,100%,1.94,"$3,575"
GreatSouthern,2020,Red,Petit Verdot,,,,,6.7,100%,6.7,"$7,724"
GreatSouthern,2020,Red,Pinot Meunier,,,,,2,100%,2,"$3,965"
GreatSouthern,2020,Red,Pinot Noir,101.296,"$184,089.47","$1,817",7%,139.904,58%,241.2,"$438,343"
GreatSouthern,2020,Red,Sangiovese,3.467,,,,,,3.467,"$5,201"
GreatSouthern,2020,Red,Shiraz,1311.374,"$2,345,752.45","$1,789",-6%,522.432,28%,1833.806,"$3,280,263"
GreatSouthern,2020,Red,Tempranillo,41.657,"$72,942.30","$1,751",0%,10.51,20%,52.167,"$91,346"
GreatSouthern,2020,Red,Touriga Nacional,,,,,1.96,100%,1.96,"$3,793"
GreatSouthern,2020,White,Chardonnay,377.076,"$492,207.01","$1,305",2%,242.276,39%,619.352,"$808,457"
GreatSouthern,2020,White,Gewürztraminer,8.185,,,,3.14,28%,11.325,"$20,863"
GreatSouthern,2020,White,Grüner Veltliner,,,,,3.7,100%,3.7,"$7,401"
GreatSouthern,2020,White,Pinot Gris/Grigio,58.575,"$87,211.00","$1,489",0%,15.076,20%,73.651,"$109,657"
GreatSouthern,2020,White,Riesling,144.262,"$254,320.25","$1,763",17%,225.167,61%,369.429,"$651,269"
GreatSouthern,2020,White,Sauvignon Blanc,458.347,"$470,774.80","$1,027",-8%,240.934,34%,699.281,"$718,241"
GreatSouthern,2020,White,Semillon,268.353,"$245,347.22",$914,-15%,128.848,32%,397.201,"$363,149"
GreatSouthern,2020,White,Verdelho,,,,,8.33,100%,8.33,"$8,033"
GreatSouthern,2020,White,Viognier,7.52,,,,4.699,38%,12.219,"$14,710"
GreatSouthern,2019,Red,Cabernet Franc,,,,,1.61,100%,1.61,"$2,343"
GreatSouthern,2019,Red,Cabernet Sauvignon,653.489,"$1,617,650.97","$2,475",54%,267.025,29%,920.514,"$2,278,647"
GreatSouthern,2019,Red,Grenache,3.471,,,,,,3.471,"$7,289"
GreatSouthern,2019,Red,Malbec,19.352,"$48,800.35","$2,522",0%,22.007,53%,41.359,"$104,296"
GreatSouthern,2019,Red,Merlot,18.521,,,,81.926,82%,100.447,"$120,536"
GreatSouthern,2019,Red,Nebbiolo,,,,,0.912,100%,0.912,"$1,656"
GreatSouthern,2019,Red,Pinot Meunier,,,,,0.056,100%,0.056,$85
GreatSouthern,2019,Red,Pinot Noir,50.913,"$86,804.20","$1,705",0%,110.729,69%,161.642,"$275,592"
GreatSouthern,2019,Red,Sangiovese,,,,,1.197,100%,1.197,"$1,564"
GreatSouthern,2019,Red,Shiraz,801.543,"$1,520,296.74","$1,897",27%,478.347,37%,1279.89,"$2,427,582"
GreatSouthern,2019,Red,Tempranillo,10.962,,,,9.074,45%,20.036,"$26,864"
GreatSouthern,2019,White,Chardonnay,211.563,"$271,274.30","$1,282",22%,246.378,54%,457.941,"$587,190"
GreatSouthern,2019,White,Gewürztraminer,,,,,0.12,100%,0.12,$99
GreatSouthern,2019,White,Pinot Gris/Grigio,25.747,,,,5.873,19%,31.62,"$49,594"
