Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,9025,1886,0,10.4,0,11.4,66,88.9,149.6,174,143.5,15,23.1,0,681.9
IDCJAC0001,9025,1887,2.5,13,21.8,59.4,77.5,138.9,221.5,147.1,88.1,37.6,32.8,9.1,849.3
IDCJAC0001,9025,1914,null,null,null,null,null,112.1,117.3,53.2,23.5,28.7,31.8,33.8,null
IDCJAC0001,9025,1915,75.3,82.8,36,32.1,126.5,203.5,237.7,166.5,130.6,83.6,7.6,1.8,1184
IDCJAC0001,9025,1916,34.9,43.5,9.9,1.8,96.1,208.1,175.2,175.2,2.8,55.6,69.4,0,872.5
IDCJAC0001,9025,1917,0,18.8,6.6,20.2,115.3,292.5,277.2,113.5,201.9,76.2,0,46.7,1168.9
IDCJAC0001,9025,1918,11.4,23.4,38.1,54,133.4,219,69.3,137.2,77.7,78.6,6.6,1.1,849.8
IDCJAC0001,9025,1919,5.3,16.1,5.9,48.3,45.8,121.1,151.9,159.8,33.1,53,40.2,22.9,703.4
IDCJAC0001,9025,1920,0.5,0,null,null,null,null,null,null,null,null,null,null,null
IDCJAC0001,9025,1921,2.3,7.4,22.5,11.7,206.6,168.1,183.5,70.8,110.6,74.4,25.8,4.1,887.8
IDCJAC0001,9025,1922,2.5,6.8,0,47.2,96.6,69.5,181.2,119.2,null,null,null,null,null
IDCJAC0001,9025,1924,null,null,null,0,0,106,99.4,187.8,53.5,151.9,43.5,0,null
IDCJAC0001,9025,1925,12,1.8,16.3,3.6,142.8,171.6,180.7,54.1,84.8,56.1,6.1,10.9,740.8
IDCJAC0001,9025,1926,0,14.3,30.7,217.7,146.5,150.3,316.7,144.6,82.9,75.2,38.5,0,1217.4
IDCJAC0001,9025,1927,19.8,0,28,19.3,73,195,177.5,156.4,112.8,61.7,2.8,1,847.3
IDCJAC0001,9025,1928,4.3,0,2.8,5,101.4,121.1,261.5,231.5,126.2,33.3,5.6,14.9,907.6
IDCJAC0001,9025,1929,7.4,16.5,0.3,21.2,203.5,208.1,116.6,81.3,55.3,40.8,22.1,3,776.1
IDCJAC0001,9025,1930,0,0,4.6,59.7,44.2,246.6,249,115.2,89.7,40.8,16.7,8.1,874.6
IDCJAC0001,9025,1931,0,0,14.6,102.2,136.7,151.6,203.4,187.3,125.6,5.6,0,8.4,935.4
IDCJAC0001,9025,1932,3.5,0,2.3,85.6,198,127.7,250.5,135.2,39.3,64.4,4,0,910.5
IDCJAC0001,9025,1933,0,0,20,20.8,114,150,92.9,129.9,57.2,119.5,5.6,0,709.9
IDCJAC0001,9025,1934,9.4,0,144.8,24.7,118.8,230.5,167.2,141.2,95.1,23.7,24.9,2.5,982.8
IDCJAC0001,9025,1935,8.7,2.5,3.1,50.4,100.2,86.1,216.5,86.7,64.5,34.3,6.4,0,659.4
IDCJAC0001,9025,1936,0,0,0,32.3,119.3,235.3,132.1,194.9,47.9,24.9,2.5,null,null
IDCJAC0001,9025,1939,null,null,null,null,null,267.1,291.7,175.5,10.9,79.6,15.5,5.3,null
IDCJAC0001,9025,1940,15.5,2.3,3.3,5.6,56,110.8,75.4,68,75.9,52.4,4,14.3,483.5
IDCJAC0001,9025,1941,0,1.6,14.5,91.2,84.3,188.9,184.5,111.1,99.5,44.5,21.7,4.8,846.6
IDCJAC0001,9025,1942,0,1.3,70.2,83.3,129.6,209.8,152.3,172.7,120.5,50.4,3.8,32.9,1026.8
