Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0003,9843,1990,23.2,20.7,14.9,11.5,8.9,7.5,8.6,10.7,13.9,16.8,24.7,25.2,15.5
IDCJAC0003,9843,1991,24.9,22.1,16.4,12.7,9.5,6.9,7.7,11,14.3,19.4,23.4,26.6,16.2
IDCJAC0003,9843,1992,27.5,20.7,17.2,13.2,8.6,8.2,8.2,10,13.5,17.8,19.5,27.9,16
IDCJAC0003,9843,1993,28.1,24.2,15.2,12.7,8.9,8.1,8.4,10.2,15.3,17.5,22.1,28.8,16.6
IDCJAC0003,9843,1994,28.3,21.8,19.6,13,9,7.9,9.7,14.4,14.7,17.5,23.9,29.4,17.4
IDCJAC0003,9843,1995,24.5,23.2,19.4,13.9,10.2,6.8,8.5,12.3,14.3,20.5,23.2,22.1,16.6
IDCJAC0003,9843,1996,26.6,24.1,17.9,13,10,7.9,8.2,11.8,14.6,20,25.7,25.8,17.1
IDCJAC0003,9843,1997,28.1,20.1,17.5,12.8,8.9,7,9.4,11.4,14.2,21.1,21.9,28.8,16.8
IDCJAC0003,9843,1998,29.5,27.6,20,11.3,9.4,7,8.2,10,15.3,20.2,24,26.6,17.4
IDCJAC0003,9843,1999,24.8,24.7,16.2,14.8,8.1,7.8,8.7,11.6,14.5,18.9,24,26.5,16.7
IDCJAC0003,9843,2000,24,23.4,19.4,13.5,9.6,8.6,8.4,10.6,15,21,24.5,30,17.3
IDCJAC0003,9843,2001,25,23.4,18.8,14.1,9.8,8.2,8.6,10.3,13.9,21.3,23.1,24.1,16.7
IDCJAC0003,9843,2002,28,21.7,19.4,13.5,10.3,7.3,8.3,10.9,15.9,18.5,26.3,25.4,17.1
IDCJAC0003,9843,2003,28.5,21.5,19.1,12.1,10.5,8.2,7.8,11.2,14.6,18.2,23.9,25.6,16.8
IDCJAC0003,9843,2004,24.9,22.8,19.3,12.9,9.3,6.9,8.5,10.7,16.1,19.8,22.4,29.4,16.9
IDCJAC0003,9843,2005,29.3,23,16.9,12.8,8.8,7.2,9.6,11,14.2,18.3,25.2,null,null
IDCJAC0003,9843,2006,23.5,25.5,20.3,11.4,9.9,8.5,8.6,11.5,15.2,21.5,23.6,29.4,17.4
IDCJAC0003,9843,2007,26,21.9,20.1,13.1,8.7,8.5,8.2,11.1,15.2,19.8,27.2,23.6,16.9
IDCJAC0003,9843,2008,25.8,21.8,18.2,13,8.7,8.7,7.7,12.5,14.9,17.8,20.8,27.8,16.5
IDCJAC0003,9843,2009,27.5,21.7,17.4,14.4,10.6,6.8,8.6,11.3,15,18.1,26.4,28.9,17.2
IDCJAC0003,9843,2010,28.3,22.7,16,12.4,9.6,8.1,8.6,10.6,15.7,21.7,24.1,25,16.9
IDCJAC0003,9843,2011,25.6,20.7,19.4,14.4,9.5,7.9,8.1,11.1,15,18.2,22.7,24.1,16.4
IDCJAC0003,9843,2012,25.4,20.6,19.2,12.7,9.6,7.4,8.8,11.5,15.5,20.3,23,25.9,16.7
IDCJAC0003,9843,2013,27.1,24.6,14.1,11.6,9.4,8,8.6,9.9,14,20.3,21.2,27.2,16.3
IDCJAC0003,9843,2014,28.2,23.7,16.1,12.6,8,7.9,8.3,11.3,14.5,18.3,21.9,25.5,16.4
IDCJAC0003,9843,2015,27.4,22.8,16.7,11.4,9.3,8.1,8.2,10.4,16,20.5,22.7,25.2,16.6
IDCJAC0003,9843,2016,20.7,22.4,15,11.4,9.9,8.4,9.7,11.4,14.5,18.5,24.4,23.5,15.8
IDCJAC0003,9843,2017,27.9,20.2,16.3,12.6,9.8,8.6,9,11.4,14.9,20.1,21.9,25,16.5
IDCJAC0003,9843,2018,24.1,20.5,16.7,12.2,10.5,8.5,9.3,11.7,15.5,18.8,21.3,25.7,16.2
IDCJAC0003,9843,2019,25.7,23.6,16.4,13.3,10.2,8.4,9.4,12.4,15.5,18.7,25.2,27.6,17.2
IDCJAC0003,9843,2020,25.1,21.8,16.9,12.5,10,8.7,9.7,12,15.8,20.5,20.5,26.1,16.6
IDCJAC0003,9843,2021,24.9,20.3,16.1,11.8,9,8.7,9,11.8,15.5,18.2,21.3,25.4,16
IDCJAC0003,9843,2022,25.1,22.3,15.8,12.6,10.3,8.7,null,null,null,null,null,null,null
