Winery,Latitude,Longitude
Plantagenet,-34.623193,117.662067
Xanadu,-33.982649,115.056427
Vasse River,-33.677252,119.188485
Robert Oatley,-27.672817,121.62831
Picardy,-34.395843,116.128722
Frankland Estate,-34.462871,117.013378
Hope Estate,-32.767729,151.31205
West Cape Howe,-34.655733,117.557831
Leeuwin Estate,-34.013389,115.065652
Wildberry Estate,-27.672817,121.62831
Vasse Felix,-33.822468,115.037726
Watershed,-33.99248,115.090956
Clairault,-33.732071,115.053474
Strait Jacket,-27.672817,121.62831
Cullen,-33.818829,115.037933
Voyager Estate,-33.996743,115.054167
Element,-27.672817,121.62831
Hamelin Bay,-34.173626,115.1212
Stella Bella,-33.972472,115.103043
Howard Park,-33.8311,115.058846
Ironberry,-27.672817,121.62831
Cape Mentelle,-33.967055,115.0373
Streicker,-33.732071,115.053474
Cloudburst,-27.672817,121.62831
Rocky Gully,-34.508684,117.008797
Juniper,-33.82446,115.048465
Mad Fish,-33.831211,115.058523
Skuttlebutt,-27.672817,121.62831
Alkoomi,-34.355877,116.964984
Devil's Lair,-34.072623,115.107385
Beach Head,-27.672817,121.62831
Moss Wood,-33.783882,115.035811
Wise,-33.579833,115.072491
Miles From Nowhere,-27.672817,121.62831
Cherubino,-33.745155,115.030126
Celestial Bay,-32.015516,115.868497
Salitage,-34.405875,116.128935
Snake and Herring,-33.769747,115.035323
Chalice Bridge,-27.672817,121.62831
Ringbolt,-27.672817,121.62831
Evans and Tate,-33.788298,115.034952
Ad Lib,-27.672817,121.62831
Edwards,-33.897537,115.030207
Fonty's Pool,-34.289633,116.066141
Franklin Tate,-27.672817,121.62831
Sandalford,-31.868718,115.992708
Kiss Chasey,-27.672817,121.62831
Merops,-33.947899,115.069463
Killerby,-33.81332,115.035953
Vinaceous,-27.672817,121.62831
Marquee,-27.672817,121.62831
Larry Cherubino,-27.672817,121.62831
Capel Vale,-33.541308,115.549871
Howling Wolves,-31.789004,115.831612
Bush Bike,-27.672817,121.62831
Happs,-33.664926,115.095621
Xavier Flouret,-27.672817,121.62831
Ferngrove,-34.379623,116.933615
The Wishing Tree,-27.672817,121.62831
Marchand and Burch,-33.831211,115.058523
