Tasting_Score,Price,Region,Wine_Name,Winery,Grape_Variety
92,21.0,Great Southern,Plantagenet 2014 Riesling (Great Southern),Plantagenet,Riesling
85,16.0,Margaret River,Xanadu 2015 Exmoor Sauvignon Blanc-Semillon (Margaret River),Xanadu,Sauvignon Blanc-Semillon
86,23.0,Margaret River,Vasse River 2006 Chardonnay (Margaret River),Vasse River,Chardonnay
87,30.0,Margaret River,Robert Oatley 2011 Finisterre Chardonnay (Margaret River),Robert Oatley,Chardonnay
90,33.0,Pemberton,Picardy 2006 Chardonnay (Pemberton),Picardy,Chardonnay
90,35.0,Frankland River,Frankland Estate 2012 Poison Hill Vineyard Riesling (Frankland River),Frankland Estate,Riesling
90,20.0,Western Australia,Plantagenet 2010 Omrah Shiraz (Western Australia),Plantagenet,Shiraz
90,30.0,Margaret River,Robert Oatley 2009 Finisterre Cabernet Sauvignon (Margaret River),Robert Oatley,Cabernet Sauvignon
90,21.0,Western Australia,West Cape Howe 2009 Book Ends Cabernet Sauvignon (Western Australia),West Cape Howe,Cabernet Sauvignon
86,29.0,Margaret River,Leeuwin Estate 2003 Prelude Vineyards Cabernet Merlot (Margaret River),Leeuwin Estate,Cabernet Merlot
85,24.0,Margaret River,Vasse River 2004 Cabernet Sauvignon-Merlot (Margaret River),Vasse River,Cabernet Sauvignon-Merlot
89,17.0,Margaret River,Wildberry Estate 2005 Shiraz (Margaret River),Wildberry Estate,Shiraz
92,38.0,Margaret River,Vasse Felix 2009 Cabernet Sauvignon (Margaret River),Vasse Felix,Cabernet Sauvignon
92,40.0,Frankland River,Frankland Estate 2012 Isolation Ridge Vineyard Riesling (Frankland River),Frankland Estate,Riesling
89,25.0,Margaret River,Watershed 2005 Awakening Cabernet Sauvignon (Margaret River),Watershed,Cabernet Sauvignon
86,13.0,Western Australia,Plantagenet 2011 Hazard Hill Sauvignon Blanc-Semillon (Western Australia),Plantagenet,Sauvignon Blanc-Semillon
86,20.0,Margaret River,Clairault 2016 Sauvignon Blanc-Semillon (Margaret River),Clairault,Sauvignon Blanc-Semillon
92,70.0,Margaret River,Vasse Felix 2013 Heytesbury Chardonnay (Margaret River),Vasse Felix,Chardonnay
88,29.0,Margaret River,Leeuwin Estate 2004 Prelude Vineyards Cabernet Merlot (Margaret River),Leeuwin Estate,Cabernet Merlot
87,20.0,Western Australia,Strait Jacket 2007 Sauvignon Blanc-Semillon (Western Australia),Strait Jacket,Sauvignon Blanc-Semillon
87,40.0,Pemberton,Picardy 2012 Pinot Noir (Pemberton),Picardy,Pinot Noir
92,75.0,Margaret River,Cullen 2008 Kevin John Chardonnay (Margaret River),Cullen,Chardonnay
92,75.0,Margaret River,Cullen 2009 Kevin John Chardonnay (Margaret River),Cullen,Chardonnay
90,70.0,Margaret River,Voyager Estate 2012 Cabernet Sauvignon-Merlot (Margaret River),Voyager Estate,Cabernet Sauvignon-Merlot
90,22.0,Margaret River,Leeuwin Estate 2015 Art Series Riesling (Margaret River),Leeuwin Estate,Riesling
88,13.0,Margaret River,Xanadu 2007 Next of Kin Cabernet Sauvignon (Margaret River),Xanadu,Cabernet Sauvignon
85,14.0,Western Australia,Element 2001 Chardonnay (Western Australia),Element,Chardonnay
84,28.0,Margaret River,Hamelin Bay 2000 Chardonnay (Margaret River),Hamelin Bay,Chardonnay
85,18.0,Western Australia,West Cape Howe 2008 Unwooded Chardonnay (Western Australia),West Cape Howe,Chardonnay
94,109.0,Margaret River,Cullen 2013 Kevin John Chardonnay (Margaret River),Cullen,Chardonnay
88,14.0,Western Australia,Plantagenet 2007 Hazard Hill Semillon-Sauvignon Blanc (Western Australia),Plantagenet,Semillon-Sauvignon Blanc
84,43.0,Margaret River,Stella Bella 2008 Suckfizzle Cabernet Sauvignon (Margaret River),Stella Bella,Cabernet Sauvignon
89,22.0,Great Southern,Howard Park 2013 Flint Rock Chardonnay (Great Southern),Howard Park,Chardonnay
84,10.0,Western Australia,Ironberry 2008 Cabernet-Shiraz-Merlot Red (Western Australia),Ironberry,Cabernet Blend
91,49.0,Margaret River,Vasse Felix 2010 Heytesbury Chardonnay (Margaret River),Vasse Felix,Chardonnay
91,40.0,Frankland River,Frankland Estate 2011 Isolation Ridge Vineyard Chardonnay (Frankland River),Frankland Estate,Chardonnay
91,55.0,Margaret River,Cape Mentelle 2010 Wilyabrup Red (Margaret River),Cape Mentelle,Bordeaux-style Red Blend
89,22.0,Great Southern,Howard Park 2013 Flint Rock Chardonnay (Great Southern),Howard Park,Chardonnay
87,25.0,Margaret River,Voyager Estate 2014 Sauvignon Blanc-Semillon (Margaret River),Voyager Estate,Sauvignon Blanc-Semillon
85,20.0,Western Australia,Howard Park 2006 Riesling (Western Australia),Howard Park,Riesling
87,18.0,Western Australia,Plantagenet 2005 Omrah Shiraz (Western Australia),Plantagenet,Shiraz
85,28.0,Margaret River,Streicker 2013 Bridgeland Block Sauvignon Blanc-Semillon (Margaret River),Streicker,Sauvignon Blanc-Semillon
89,23.0,Margaret River,Howard Park 2016 Miamup Sauvignon Blanc-Semillon (Margaret River),Howard Park,Sauvignon Blanc-Semillon
92,200.0,Margaret River,Cloudburst 2013 Chardonnay (Margaret River),Cloudburst,Chardonnay
90,15.0,Frankland River,Rocky Gully 2006 Dry Riesling (Frankland River),Rocky Gully,Riesling
93,40.0,Margaret River,Vasse Felix 2013 Chardonnay (Margaret River),Vasse Felix,Chardonnay
85,18.0,Western Australia,West Cape Howe 2008 Unwooded Chardonnay (Western Australia),West Cape Howe,Chardonnay
91,250.0,Margaret River,Cloudburst 2012 Malbec (Margaret River),Cloudburst,Malbec
88,19.0,Margaret River,Wildberry Estate 2005 Cabernet Sauvignon-Merlot (Margaret River),Wildberry Estate,Cabernet Sauvignon-Merlot
87,35.0,Margaret River,Juniper 2003 Cabernet Sauvignon (Margaret River),Juniper,Cabernet Sauvignon
90,20.0,Margaret River,Robert Oatley 2014 Chardonnay (Margaret River),Robert Oatley,Chardonnay
89,35.0,Margaret River,Cullen 2015 Ephraim Clarke Sauvignon Blanc-Semillon (Margaret River),Cullen,Sauvignon Blanc-Semillon
93,89.0,Margaret River,Leeuwin Estate 2013 Art Series Chardonnay (Margaret River),Leeuwin Estate,Chardonnay
91,25.0,Great Southern,Howard Park 2005 Scotsdale Shiraz (Great Southern),Howard Park,Shiraz
91,29.0,Mount Barker,Plantagenet 2009 Shiraz (Mount Barker),Plantagenet,Shiraz
91,17.0,Great Southern,Robert Oatley 2012 Riesling (Great Southern),Robert Oatley,Riesling
90,79.0,Margaret River,Leeuwin Estate 2004 Art Series Chardonnay (Margaret River),Leeuwin Estate,Chardonnay
88,,Western Australia,Mad Fish 2006 Riesling (Western Australia),Mad Fish,Riesling
87,9.0,Western Australia,Ironberry 2005 Cabernet Shiraz Merlot Red (Western Australia),Ironberry,Red Blend
92,89.0,Margaret River,Leeuwin Estate 2011 Art Series Chardonnay (Margaret River),Leeuwin Estate,Chardonnay
92,36.0,Margaret River,Leeuwin Estate 2012 Prelude Vineyards Chardonnay (Margaret River),Leeuwin Estate,Chardonnay
90,35.0,Margaret River,Cullen 2011 Cullen Vineyard Sauvignon Blanc-Semillon (Margaret River),Cullen,Sauvignon Blanc-Semillon
89,13.0,Western Australia,Plantagenet 2010 Hazard Hill Shiraz (Western Australia),Plantagenet,Shiraz
89,16.0,Margaret River,Skuttlebutt 2009 Shiraz-Cabernet Sauvignon (Margaret River),Skuttlebutt,Shiraz-Cabernet Sauvignon
89,20.0,Margaret River,Leeuwin Estate 2009 Siblings Shiraz (Margaret River),Leeuwin Estate,Shiraz
87,22.0,Margaret River,Hamelin Bay 2001 Sauvignon Blanc (Margaret River),Hamelin Bay,Sauvignon Blanc
87,17.0,Frankland River,Alkoomi 2001 Sauvignon Blanc (Frankland River),Alkoomi,Sauvignon Blanc
87,25.0,Margaret River,Devil's Lair 2004 Red Wine Red (Margaret River),Devil's Lair,Bordeaux-style Red Blend
88,15.0,Western Australia,Plantagenet 2004 Omrah Cabernet Sauvignon (Western Australia),Plantagenet,Cabernet Sauvignon
88,21.0,Western Australia,West Cape Howe 2005 Book Ends Cabernet Sauvignon (Western Australia),West Cape Howe,Cabernet Sauvignon
85,18.0,Margaret River,Beach Head 2007 Sunset Rosé (Margaret River),Beach Head,Rosé
91,95.0,Margaret River,Cullen 2009 Diana Madeline Red (Margaret River),Cullen,Bordeaux-style Red Blend
91,29.0,Mount Barker,Plantagenet 2008 Shiraz (Mount Barker),Plantagenet,Shiraz
93,69.0,Margaret River,Cape Mentelle 2011 Cabernet Sauvignon (Margaret River),Cape Mentelle,Cabernet Sauvignon
91,22.0,Margaret River,Leeuwin Estate 2013 Art Series Riesling (Margaret River),Leeuwin Estate,Riesling
94,109.0,Margaret River,Cullen 2012 Kevin John Chardonnay (Margaret River),Cullen,Chardonnay
90,60.0,Margaret River,Leeuwin Estate 2010 Art Series Cabernet Sauvignon (Margaret River),Leeuwin Estate,Cabernet Sauvignon
93,75.0,Margaret River,Moss Wood 2004 Cabernet Sauvignon (Margaret River),Moss Wood,Cabernet Sauvignon
91,21.0,Margaret River,Wise 2005 Eagle Bay Shiraz (Margaret River),Wise,Shiraz
86,22.0,Margaret River,Leeuwin Estate 2010 Art Series Riesling (Margaret River),Leeuwin Estate,Riesling
88,13.0,Margaret River,Miles From Nowhere 2011 Shiraz (Margaret River),Miles From Nowhere,Shiraz
92,60.0,Margaret River,Leeuwin Estate 2012 Art Series Cabernet Sauvignon (Margaret River),Leeuwin Estate,Cabernet Sauvignon
89,19.0,Western Australia,West Cape Howe 2006 Styx Gully Chardonnay (Western Australia),West Cape Howe,Chardonnay
89,16.0,Margaret River,Cape Mentelle 2012 Sauvignon Blanc-Semillon (Margaret River),Cape Mentelle,Sauvignon Blanc-Semillon
89,15.0,Western Australia,Plantagenet 2011 Omrah Chardonnay (Western Australia),Plantagenet,Chardonnay
89,25.0,Frankland River,Frankland Estate 2012 Rocky Gully Riesling (Frankland River),Frankland Estate,Riesling
91,30.0,Margaret River,Stella Bella 2016 Chardonnay (Margaret River),Stella Bella,Chardonnay
93,54.0,Margaret River,Cherubino 2010 Cowaramup Cabernet Sauvignon (Margaret River),Cherubino,Cabernet Sauvignon
91,35.0,Great Southern,Robert Oatley 2012 Finisterre Cabernet Sauvignon (Great Southern),Robert Oatley,Cabernet Sauvignon
91,20.0,Margaret River,Leeuwin Estate 2015 Siblings Sauvignon Blanc-Semillon (Margaret River),Leeuwin Estate,Sauvignon Blanc-Semillon
88,35.0,Margaret River,Leeuwin Estate 2010 Art Series Shiraz (Margaret River),Leeuwin Estate,Shiraz
87,20.0,Great Southern,Plantagenet 2010 Omrah Pinot Noir (Great Southern),Plantagenet,Pinot Noir
87,18.0,Margaret River,Beach Head 2007 Semillon-Sauvignon Blanc (Margaret River),Beach Head,Semillon-Sauvignon Blanc
90,200.0,Margaret River,Cloudburst 2012 Chardonnay (Margaret River),Cloudburst,Chardonnay
89,25.0,Margaret River,Howard Park 2016 Miamup Chardonnay (Margaret River),Howard Park,Chardonnay
89,27.0,Margaret River,Vasse Felix 2016 Filius Chardonnay (Margaret River),Vasse Felix,Chardonnay
88,25.0,Margaret River,Celestial Bay 2004 Shiraz (Margaret River),Celestial Bay,Shiraz
85,13.0,Margaret River,Xanadu 2007 Next of Kin Shiraz (Margaret River),Xanadu,Shiraz
93,36.0,Margaret River,Leeuwin Estate 2014 Prelude Vineyards Chardonnay (Margaret River),Leeuwin Estate,Chardonnay
94,69.0,Margaret River,Vasse Felix 2015 Heytesbury Chardonnay (Margaret River),Vasse Felix,Chardonnay
88,25.0,Western Australia,Mad Fish NV Vera's Cuvée Méthode Traditionnelle Sparkling (Western Australia),Mad Fish,Sparkling Blend
82,20.0,Pemberton,Salitage 2005 Treehouse Cabernet Sauvignon-Merlot-Cabernet Franc Red (Pemberton),Salitage,Bordeaux-style Red Blend
92,45.0,Margaret River,Leeuwin Estate 2002 Art Series Cabernet Sauvignon (Margaret River),Leeuwin Estate,Cabernet Sauvignon
91,65.0,Frankland River,Frankland Estate 2012 Smith Cullam Riesling (Frankland River),Frankland Estate,Riesling
91,17.0,Western Australia,West Cape Howe 2009 Two Steps Shiraz (Western Australia),West Cape Howe,Shiraz
91,29.0,Great Southern,Plantagenet 2007 Shiraz (Great Southern),Plantagenet,Shiraz
91,36.0,Margaret River,Leeuwin Estate 2011 Prelude Vineyards Chardonnay (Margaret River),Leeuwin Estate,Chardonnay
91,72.0,Margaret River,Cape Mentelle 2012 Cabernet Sauvignon (Margaret River),Cape Mentelle,Cabernet Sauvignon
91,37.0,Great Southern,Howard Park 2013 Scotsdale Cabernet Sauvignon (Great Southern),Howard Park,Cabernet Sauvignon
86,20.0,Western Australia,West Cape Howe 2008 Pinot Noir (Western Australia),West Cape Howe,Pinot Noir
88,21.0,Western Australia,West Cape Howe 2005 Two Steps Shiraz-Viognier (Western Australia),West Cape Howe,Shiraz-Viognier
85,18.0,Western Australia,Frankland Estate 2002 Poison Hill Vineyard Riesling (Western Australia),Frankland Estate,Riesling
92,29.0,Great Southern,Plantagenet 2013 Cabernet Sauvignon (Great Southern),Plantagenet,Cabernet Sauvignon
90,20.0,Margaret River,Robert Oatley 2010 Cabernet Sauvignon (Margaret River),Robert Oatley,Cabernet Sauvignon
90,27.0,Margaret River,Stella Bella 2009 Cabernet Sauvignon-Merlot (Margaret River),Stella Bella,Cabernet Sauvignon-Merlot
90,22.0,Margaret River,Vasse Felix 2011 Chardonnay (Margaret River),Vasse Felix,Chardonnay
90,34.0,Margaret River,Moss Wood 2010 Amy's Red (Margaret River),Moss Wood,Red Blend
86,24.0,Margaret River,Voyager Estate 2015 Sauvignon Blanc-Semillon (Margaret River),Voyager Estate,Sauvignon Blanc-Semillon
92,33.0,Margaret River,Snake and Herring 2014 Karridale Corduroy Chardonnay (Margaret River),Snake and Herring,Chardonnay
90,27.0,Western Australia,Wise 2006 Single Vineyard Chardonnay (Western Australia),Wise,Chardonnay
90,79.0,Margaret River,Leeuwin Estate 2004 Art Series Chardonnay (Margaret River),Leeuwin Estate,Chardonnay
93,54.0,Margaret River,Cherubino 2010 Cowaramup Cabernet Sauvignon (Margaret River),Cherubino,Cabernet Sauvignon
91,45.0,Margaret River,Leeuwin Estate 2007 Art Series Cabernet Sauvignon (Margaret River),Leeuwin Estate,Cabernet Sauvignon
88,27.0,Margaret River,Moss Wood 2011 Ribbon Vale Vineyards Semillon-Sauvignon Blanc (Margaret River),Moss Wood,Semillon-Sauvignon Blanc
91,20.0,Margaret River,Howard Park 2004 Leston Cabernet Sauvignon (Margaret River),Howard Park,Cabernet Sauvignon
91,23.0,Margaret River,Howard Park 2013 Miamup Cabernet Sauvignon (Margaret River),Howard Park,Cabernet Sauvignon
89,39.0,Margaret River,Cullen 2014 Amber Semillon-Sauvignon Blanc (Margaret River),Cullen,Semillon-Sauvignon Blanc
92,35.0,Margaret River,Cullen 2014 Ephraim Clarke Sauvignon Blanc-Semillon (Margaret River),Cullen,Sauvignon Blanc-Semillon
93,30.0,Frankland River,Frankland Estate 2004 Isolation Ridge Vineyard Shiraz (Frankland River),Frankland Estate,Shiraz
90,70.0,Margaret River,Cape Mentelle 2010 Cabernet Sauvignon (Margaret River),Cape Mentelle,Cabernet Sauvignon
90,20.0,Mount Barker,Plantagenet 2011 Riesling (Mount Barker),Plantagenet,Riesling
85,14.0,Margaret River,Xanadu 2006 Dragon Chardonnay (Margaret River),Xanadu,Chardonnay
90,30.0,Margaret River,Robert Oatley 2016 Finisterre Chardonnay (Margaret River),Robert Oatley,Chardonnay
93,89.0,Margaret River,Leeuwin Estate 2008 Art Series Chardonnay (Margaret River),Leeuwin Estate,Chardonnay
84,20.0,Pemberton,Salitage 2005 Treehouse Pinot Noir (Pemberton),Salitage,Pinot Noir
90,27.0,Western Australia,Wise 2005 Single Vineyard Chardonnay (Western Australia),Wise,Chardonnay
88,36.0,Margaret River,Leeuwin Estate 2009 Prelude Vineyards Chardonnay (Margaret River),Leeuwin Estate,Chardonnay
91,70.0,Great Southern,Robert Oatley 2011 The Pennant Cabernet Sauvignon (Great Southern),Robert Oatley,Cabernet Sauvignon
88,20.0,Margaret River,Cape Mentelle 2016 Rosé (Margaret River),Cape Mentelle,Rosé
83,20.0,Margaret River,Vasse River 2006 Semillon-Sauvignon Blanc (Margaret River),Vasse River,Semillon-Sauvignon Blanc
85,16.0,Western Australia,Chalice Bridge 2001 Chardonnay (Western Australia),Chalice Bridge,Chardonnay
90,22.0,Margaret River,Ringbolt 2014 Cabernet Sauvignon (Margaret River),Ringbolt,Cabernet Sauvignon
89,29.0,Mount Barker,Plantagenet 2008 Cabernet Sauvignon (Mount Barker),Plantagenet,Cabernet Sauvignon
88,17.0,Great Southern,Robert Oatley 2013 Riesling (Great Southern),Robert Oatley,Riesling
86,10.0,Western Australia,Evans & Tate 2011 Split River Cabernet Sauvignon (Western Australia),Evans & Tate,Cabernet Sauvignon
90,30.0,Margaret River,Vasse Felix 2004 Cabernet Sauvignon (Margaret River),Vasse Felix,Cabernet Sauvignon
87,55.0,Margaret River,Cullen 2012 Mangan East Block Red (Margaret River),Cullen,Bordeaux-style Red Blend
90,25.0,Great Southern,Plantagenet 2004 Cabernet Sauvignon (Great Southern),Plantagenet,Cabernet Sauvignon
90,109.0,Margaret River,Cullen 2011 Diana Madeline Red (Margaret River),Cullen,Bordeaux-style Red Blend
86,17.0,Pemberton,Ad Lib 2014 Cruel Mistress Pinot Noir (Pemberton),Ad Lib,Pinot Noir
87,20.0,Margaret River,Cape Mentelle 2015 Sauvignon Blanc-Semillon (Margaret River),Cape Mentelle,Sauvignon Blanc-Semillon
88,20.0,Western Australia,Plantagenet 2012 Omrah Pinot Noir (Western Australia),Plantagenet,Pinot Noir
82,23.0,Margaret River,Edwards 2007 Semillon-Sauvignon Blanc (Margaret River),Edwards,Semillon-Sauvignon Blanc
86,13.0,Western Australia,Plantagenet 2010 Hazard Hill Sauvignon Blanc-Semillon (Western Australia),Plantagenet,Sauvignon Blanc-Semillon
86,10.0,Western Australia,Evans & Tate 2011 Split River Cabernet Sauvignon (Western Australia),Evans & Tate,Cabernet Sauvignon
83,17.0,Margaret River,Robert Oatley 2014 Sauvignon Blanc (Margaret River),Robert Oatley,Sauvignon Blanc
86,15.0,Pemberton,Fonty's Pool 2006 Single Vineyard Viognier (Pemberton),Fonty's Pool,Viognier
86,25.0,Great Southern,Plantagenet 2005 Lioness Shiraz-Viognier (Great Southern),Plantagenet,Shiraz-Viognier
86,20.0,Margaret River,Evans & Tate 2005 Shiraz (Margaret River),Evans & Tate,Shiraz
92,27.0,Pemberton,Wise 2005 Reserve Chardonnay (Pemberton),Wise,Chardonnay
87,21.0,Great Southern,Plantagenet 2013 Riesling (Great Southern),Plantagenet,Riesling
86,20.0,Margaret River,Leeuwin Estate 2005 Siblings Sauvignon Blanc-Semillon (Margaret River),Leeuwin Estate,Sauvignon Blanc-Semillon
90,15.0,Margaret River,Franklin Tate 2013 Tate Chardonnay (Margaret River),Franklin Tate,Chardonnay
90,33.0,Margaret River,Robert Oatley 2013 Finisterre Chardonnay (Margaret River),Robert Oatley,Chardonnay
94,110.0,Margaret River,Vasse Felix 2012 Heytesbury Red (Margaret River),Vasse Felix,Bordeaux-style Red Blend
93,109.0,Margaret River,Cullen 2013 Diana Madeline Red (Margaret River),Cullen,Bordeaux-style Red Blend
90,20.0,Margaret River,Wildberry Estate 2013 Two Passions Cabernet Sauvignon (Margaret River),Wildberry Estate,Cabernet Sauvignon
93,29.0,Margaret River,Xanadu 2013 Cabernet Sauvignon (Margaret River),Xanadu,Cabernet Sauvignon
90,22.0,Mount Barker & Margaret River,Sandalford 1999 Cabernet Sauvignon (Mount Barker & Margaret River),Sandalford,Cabernet Sauvignon
90,24.0,Western Australia,Sandalford 1998 Shiraz (Western Australia),Sandalford,Shiraz
90,15.0,Margaret River,Xanadu 2000 Chardonnay (Margaret River),Xanadu,Chardonnay
90,20.0,Western Australia,Frankland Estate 2000 Isolation Ridge Vineyard Chardonnay (Western Australia),Frankland Estate,Chardonnay
88,15.0,Margaret River,Franklin Tate 2014 Tate Chardonnay (Margaret River),Franklin Tate,Chardonnay
91,20.0,Great Southern,Plantagenet 2008 Omrah Shiraz (Great Southern),Plantagenet,Shiraz
90,20.0,Margaret River,Robert Oatley 2014 Chardonnay (Margaret River),Robert Oatley,Chardonnay
87,20.0,Western Australia,Strait Jacket 2007 Chardonnay (Western Australia),Strait Jacket,Chardonnay
87,18.0,Western Australia,Frankland Estate 2001 Isolation Ridge Vineyard Riesling (Western Australia),Frankland Estate,Riesling
91,25.0,Frankland River,Frankland Estate 2013 Rocky Gully Shiraz (Frankland River),Frankland Estate,Shiraz
91,40.0,Frankland River,Frankland Estate 2014 Isolation Ridge Vineyard Riesling (Frankland River),Frankland Estate,Riesling
94,89.0,Margaret River,Leeuwin Estate 2012 Art Series Chardonnay (Margaret River),Leeuwin Estate,Chardonnay
91,35.0,Frankland River,Frankland Estate 2014 Netley Road Vineyard Riesling (Frankland River),Frankland Estate,Riesling
90,20.0,Margaret River,Juniper 2005 Crossing Shiraz (Margaret River),Juniper,Shiraz
89,36.0,Margaret River,Leeuwin Estate 2007 Prelude Vineyards Chardonnay (Margaret River),Leeuwin Estate,Chardonnay
89,20.0,Margaret River,Robert Oatley 2016 Signature Series Chardonnay (Margaret River),Robert Oatley,Chardonnay
